"Код","Название","Адрес","x","y",
"1","Категория Б","","","",
"2","Эмир","Толстого, 104, 1 этаж","69.617029","42.32087",,,,,,,1
"3","??ламжан","Акназар Хан, 60/3","69.631848","42.302203",,,,,,,2
"4","??рмет","Жибек жолы, 95, 1-2 этаж","69.648291","42.334717",,,,,,,1
"5","??рмет","Жуманова, 23/1","69.430701","42.35616",,,,,,,1
"6","??с жолы","Алибекова, 1а, 1 этаж","69.629615","42.378618",,,,,,,1
"7","?абит","Хайруллина, 31","69.591975","42.352572",,,,,,,1
"8","?абит","Бекболатова, 131/1","69.522188","42.297242",,,,,,,1
"9","?АЗИЗА","Нурсултана Назарбаева проспект, 31, 1 этаж","69.646955","42.35952",,,,,,,1
"10","?азы??рт","Алдиярова, 2/1","69.610405","42.310061",,,,,,,1
"11","?азы??рт","Богенбай батыра, 83","69.549366","42.287391",,,,,,,1
"12","?азына","Елшибек батыра, 116/1","69.636235","42.324265",,,,,,,1
"13","?азына","Нурсат микрорайон, 107, 1 этаж","69.626524","42.364288",,,,,,,1
"14","?азына","18-й микрорайон, 8, 1 этаж","69.626873","42.339315",,,,,,,1
"15","?азына","Отырар, 64/1","69.540039","42.295568",,,,,,,1
"16","?айнар","Сайрамская, 38","69.641377","42.307883",,,,,,,2
"17","?айнар","Жубанова, 40Б","69.789404","42.400064",,,,,,,1
"18","?айсар","Рыскулова, 1007","69.589472","42.35049",,,,,,,1
"19","?ара-су","Туркестанская, 4, 1 этаж","69.59526","42.315894",,,,,,,1
"20","?арахан Баба","Новостройка, 28","69.570974","42.286699",,,,,,,2
"21","?арлы?аш","Туякбаева, 14а","69.606323","42.350434",,,,,,,1
"22","?арлы?аш","Байтурсынова, 73, 1 этаж","69.600718","42.338055",,,,,,,1
"23","?арлы?аш","Верещагина, 75","69.620638","42.334193",,,,,,,1
"24","?асиет","Байысбаева, 1/1, 1 этаж","69.537513","42.36304",,,,,,,1
"25","?БДІРАХМАН АТА","Панфилова, 68/3, 1 этаж","69.652401","42.282927",,,,,,,2
"26","?дiлет","Казакстан, 16а","69.501481","42.38462",,,,,,,1
"27","?демі","Дулати, 54, 1 этаж","69.604436","42.324646",,,,,,,1
"28","?демі ?же","Аккурай, 33/1","69.493624","42.374068",,,,,,,1
"29","?діл","Бактияров, 27/1","69.488837","42.341999",,,,,,,1
"30","?ділет","4-й микрорайон, 3а","69.570769","42.333937",,,,,,,1
"31","?Л АС","Жолан Батыра, 115/1","69.645757","42.3403",,,,,,,1
"32","?лiби","Жибек жолы, 4/8","69.7034","42.352746",,,,,,,1
"33","?лия","Сурикова, 1а/1","69.58294","42.300539",,,,,,,1
"34","?лы?-т?бе","Сайрамская, 45д, 1 этаж","69.742283","42.300703",,,,,,,2
"35","?міт","Северный жилмассив, 142/6","69.613862","42.345009",,,,,,,1
"36","?ос б?ла?","Назарбекова, 222/1, 2 этаж","69.628198","42.359385",,,,,,,1
"37","?сел","8-й микрорайон, 5/1","69.58129","42.322423",,,,,,,1
"38","?СЕЛ","Муканова, 87","69.549217","42.281995",,,,,,,1
"39","?сел","Восток микрорайон, 90, 1 этаж","69.643753","42.334153",,,,,,,1
"40","?сел","Жиделибайсын, 89, 1 этаж","69.526593","42.346922",,,,,,,1
"41","?сел","Алимкулова, 4, 1 этаж","69.606038","42.308604",,,,,,,1
"42","?уаныш","8-й микрорайон, 7/2","69.580099","42.320148",,,,,,,1
"43","?уаныш","Спатаева, 65/1","69.549705","42.347907",,,,,,,1
"44","?уаныш","Кабанбай батыра проспект, 5а, 1 этаж","69.606643","42.300338",,,,,,,2
"45","?удайберген-Ата","Аргынбекова, 1/5","69.566446","42.362132",,,,,,,1
"46","?шірбай Ата","4-й микрорайон, 9/5","69.574326","42.33507",,,,,,,1
"47","?ызмет","Тауке Хана проспект, 160, 1 этаж","69.62042","42.312611",,,,,,,1
"48","?ызмет","Коктем, 1/1","69.710042","42.375198",,,,,,,1
"49","13","Майтобе, 4/1","69.642821","42.364744",,,,,,,1
"50","24 са?ат","Гагарина, 188/1","69.547223","42.324692",,,,,,,1
"51","28","Гагарина, 88, 1 этаж","69.560737","42.313186",,,,,,,1
"52","3-шi д?кен","Интернациональная, 56/1","69.557904","42.322062",,,,,,,1
"53","700","Отарбаева, 665/1","69.58059","42.356033",,,,,,,1
"54","77","Балтабай Нурлыбекова, 63/1","69.599447","42.358533",,,,,,,1
"55","777","Жанкожа батыра, 205Б","69.638745","42.320144",,,,,,,1
"56","777","8-й микрорайон, 12, 1 этаж","69.581218","42.321815",,,,,,,1
"57","777","Байдибек би проспект, 20/4","69.646618","42.42561",,,,,,,1
"58","888","Абдыразакова, 4/2","69.586003","42.300798",,,,,,,1
"59","Aidana","Бауыржан Момышулы проспект, 147/2, 1 этаж","69.571823","42.343602",,,,,,,1
"60","ALAMAN","Аламан, 1/2","69.574408","42.368925",,,,,,,1
"61","ALI","Жибек жолы, 7/8","69.691781","42.348112",,,,,,,1
"62","Almahan Ata","Юсупова, 130","69.556936","42.367955",,,,,,,1
"63","Almira","Алии Молдагуловой, 4","69.581063","42.302871",,,,,,,1
"64","Arbat","Бейбитшилик, 2","69.586823","42.316506",,,,,,,1
"65","ARNAU","Аргынбекова, 60, 1 этаж","69.606746","42.36158",,,,,,,1
"66","Arzan","Шокана Уалиханова, 225в/3, 1 этаж","69.644234","42.326679",,,,,,,1
"67","Arzan MARKET","Кабанбай батыра проспект, 10","69.606583","42.301644",,,,,,,2
"68","ARZU","Туркестанская, 6, 1 этаж","69.59745","42.315153",,,,,,,1
"69","Asem ana","Тамерлановское шоссе, 152/1, 1 этаж","69.551876","42.335808",,,,,,,1
"70","AZIYA","Тауке Хана проспект, 99/1","69.620692","42.312963",,,,,,,1
"71","Azyq-tulik dukeni","Абдалиева, 2/1","69.696396","42.349811",,,,,,,1
"72","Bagjan","Астана микрорайон, 93, 0 этаж","69.655714","42.355086",,,,,,,1
"73","BAQDAULET","Мырзаби Ерназарова, 60, 1 этаж","69.54306","42.369171",,,,,,,1
"74","Bayan Sulu","Абая проспект, 11а/13, 1 этаж","69.557439","42.316001",,,,,,,1
"75","BAYMART","16-й микрорайон, 37, 1 этаж","69.636275","42.335856",,,,,,,1
"76","Beksultan","Аргынбекова, 68/10","69.581613","42.36655",,,,,,,1
"77","Bereke 89","Асар микрорайон, 120/4","69.609788","42.407058",,,,,,,1
"78","Bis","Аманжолова, 60","69.583669","42.336419",,,,,,,1
"79","City Market","Туркестан, 106/1, 1 этаж","69.492814","42.381163",,,,,,,1
"80","COCA COLA","Жылкышиева, 182/2","69.647059","42.310894",,,,,,,2
"81","Daiana","Нурсат 2 микрорайон, 20, 1 этаж","69.644532","42.355806",,,,,,,1
"82","Dala fruit","Байтурсынова, 102, 1 этаж","69.605905","42.348849",,,,,,,1
"83","Dana","Машат, 38/2","69.6927","42.344853",,,,,,,1
"84","DELOS","Майлы Кожа, 202а, 1 этаж","69.63087","42.308494",,,,,,,2
"85","Diana","Интернациональная, 60/1, 1 этаж","69.558405","42.322118",,,,,,,1
"86","Dostar","Отырар микрорайон, 12/7","69.614521","42.347438",,,,,,,1
"87","Eldos","18-й микрорайон, 19","69.624428","42.340927",,,,,,,1
"88","Ernur","Республики проспект, 10, 1 этаж","69.580574","42.31684",,,,,,,1
